,from_id,to_id,travel_time
897,374,arts_quad,50.0
898,374,eng_quad,48.0
899,374,ag_quad,50.0
900,3740,arts_quad,41.0
901,3740,eng_quad,46.0
902,3740,ag_quad,44.0
903,3741,arts_quad,41.0
904,3741,eng_quad,46.0
905,3741,ag_quad,44.0
906,3743,arts_quad,41.0
907,3743,eng_quad,46.0
908,3743,ag_quad,44.0
909,3744,arts_quad,41.0
910,3744,eng_quad,46.0
911,3744,ag_quad,44.0
912,3747,arts_quad,41.0
913,3747,eng_quad,46.0
914,3747,ag_quad,44.0
915,3748,arts_quad,41.0
916,3748,eng_quad,46.0
917,3748,ag_quad,44.0
918,3749,arts_quad,41.0
919,3749,eng_quad,46.0
920,3749,ag_quad,44.0
921,3750,arts_quad,41.0
922,3750,eng_quad,46.0
923,3750,ag_quad,44.0
924,3751,arts_quad,88.0
925,3751,eng_quad,90.0
926,3751,ag_quad,95.0
927,3752,arts_quad,87.0
928,3752,eng_quad,89.0
929,3752,ag_quad,94.0
930,3759,arts_quad,104.0
931,3759,eng_quad,106.0
932,3759,ag_quad,111.0
933,376,arts_quad,50.0
934,376,eng_quad,48.0
935,376,ag_quad,50.0
936,3760,arts_quad,104.0
937,3760,eng_quad,106.0
938,3760,ag_quad,111.0
939,3761,arts_quad,115.0
940,3761,eng_quad,117.0
941,3761,ag_quad,119.0
942,3762,arts_quad,101.0
943,3762,eng_quad,103.0
944,3762,ag_quad,108.0
945,3763,arts_quad,101.0
946,3763,eng_quad,103.0
947,3763,ag_quad,108.0
948,3764,arts_quad,104.0
